metric,value,evaluation_scope,split,seed,model_rating_count,prediction_count,k,positive_rating,eligible_users,users_with_fewer_than_k_test_items,users_without_relevant_test_item,total_test_users,svd_configuration
RMSE,1.2550780256478333,Outer holdout; held-out observed-item ranking,outer_test,42,952497,190500,10,8,4802,32911,35,37748,"{""lr_all"": 0.005, ""n_epochs"": 20, ""n_factors"": 30, ""random_state"": 42, ""reg_all"": 0.02}"
MAE,0.9560060682392909,Outer holdout; held-out observed-item ranking,outer_test,42,952497,190500,10,8,4802,32911,35,37748,"{""lr_all"": 0.005, ""n_epochs"": 20, ""n_factors"": 30, ""random_state"": 42, ""reg_all"": 0.02}"
Precision@10,0.6396501457725947,Outer holdout; held-out observed-item ranking,outer_test,42,952497,190500,10,8,4802,32911,35,37748,"{""lr_all"": 0.005, ""n_epochs"": 20, ""n_factors"": 30, ""random_state"": 42, ""reg_all"": 0.02}"
Recall@10,0.8272841114223355,Outer holdout; held-out observed-item ranking,outer_test,42,952497,190500,10,8,4802,32911,35,37748,"{""lr_all"": 0.005, ""n_epochs"": 20, ""n_factors"": 30, ""random_state"": 42, ""reg_all"": 0.02}"
